City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,Latitude,Longitude
WICHITA,KS,32.2,36.8,46.1,56.1,65.2,75,80.2,79.3,70.4,58.2,45.1,33.9,56.5,37.687176,-97.330053
CINCINNATI,OH,31.2,34.8,43.6,54,63.2,71.8,75.7,74.5,67.1,55.5,44.9,34.6,54.2,39.103118,-84.51202
JACKSON,KY,34.9,38.8,47.4,57.4,64.6,72,75.4,74.5,68.1,58.1,48.4,38.1,56.5,37.553146,-83.383513
LEXINGTON,KY,32.9,36.9,45.5,55.3,64.2,72.7,76.2,75.3,68.1,57,46.3,36,55.5,38.040584,-84.503716
LOUISVILLE,KY,34.5,38.1,47,57.1,66.3,75.1,77.8,77.5,69.6,58.2,47.5,37.2,57.2,38.252665,-85.758456
PADUCAH,KY,34.6,39.2,48.3,58,67.2,75.6,78.9,77.5,69.9,58.8,48.1,37.5,57.8,37.083389,-88.600048
BATON ROUGE,LA,51.7,55.1,61.5,68.1,75.7,81.1,83,82.9,78.6,69.3,60.4,53.4,68.4,30.458283,-91.14032
LAKE CHARLES,LA,51.8,55,61.4,68.1,75.6,81,82.9,83,78.6,70.1,61.1,53.8,68.5,30.226595,-93.217376
NEW ORLEANS,LA,53.4,56.7,62.6,69.1,76.7,81.5,83.3,83.3,79.7,71.3,62.7,55.6,69.7,29.951066,-90.071532
SHREVEPORT,LA,46.4,50.3,57.4,64.7,73.4,80,83,83.2,76.3,66,56.3,47.9,65.4,32.525152,-93.750179
CARIBOU,ME,10.2,14.1,24.5,38.6,51.5,60.7,65.6,63.6,55,43.3,31.5,18.2,39.7,46.864,-67.998037
PORTLAND,ME,22.3,25.5,33.5,44,53.9,63.4,69.1,68,60.1,48.8,39.4,28.8,46.4,43.661471,-70.255326
BALTIMORE,MD,32.9,35.8,43.6,53.7,62.9,72.4,77,75.1,67.8,56.1,46.5,36.7,55,39.290385,-76.612189
BLUE HILL,MA,25.5,27.9,35.5,46.7,57.1,66.1,71.9,70.5,63.1,51.6,41.7,31.3,49.1,42.213997,-71.09368
BOSTON,MA,29,31.7,38.3,48.1,57.9,67.7,73.4,72.1,64.9,54,44.7,34.7,51.4,42.360083,-71.05888
WORCESTER,MA,24.1,27,34.7,46,56.3,65,70.2,68.8,61.2,50,40.3,29.4,47.8,42.262593,-71.802293
ALPENA,MI,19.1,20.3,28.7,41.6,52.5,62.1,67.4,65.4,57.7,46.2,35.7,25,43.5,45.061679,-83.432753
DETROIT,MI,25.8,28.2,36.6,48.5,59.4,69.3,73.9,72.2,64.6,52.5,41.6,30.3,50.2,42.331427,-83.045754
